Question,Answer,Comment,Instruction,Render As
"かわいがっている犬。ふつうは飼い犬を指す。"	"愛犬,あいけん"	"かわいがっている犬。ふつうは飼い犬を指す。"	Guess the Word or Reading	Text
"||達||＊とは、真理や道理を悟り、何事にも動じない状態のことである。||達||＊の「達」には、「目的地に到着すること」や「物事を成し遂げる」という意味がある。「観」には、「外見」や「考え」という意味であると同時に、仏語として「物事の道理を悟ること」という意味がある。||達||＊は英語で be philosophical と表現される。"	"達観,たっかん"	"達観とは、真理や道理を悟り、何事にも動じない状態のことである。達観の「達」には、「目的地に到着すること」や「物事を成し遂げる」という意味がある。「観」には、「外見」や「考え」という意味であると同時に、仏語として「物事の道理を悟ること」という意味がある。達観は英語で be philosophical と表現される。"	Guess the Word or Reading	Text
"||未||＊（||み||＊＊）とは、ある数や数が、その数自体は含まないでその数よりも少ないこと。「100||未||＊」なら「100よりも少ない」ということ。「以下」の場合は、その数自体も含む。「以下」「以上」のように、「||未||＊」の反対語とされる表現には「超過」があるが、通常は「100以上」「100以下」「100||未||＊」などとは言うが「100超過」とは言わず「100よりも大きい」などと表現する。"	"未満,みまん"	"未満（みまん）とは、ある数や数が、その数自体は含まないでその数よりも少ないこと。「100未満」なら「100よりも少ない」ということ。「以下」の場合は、その数自体も含む。「以下」「以上」のように、「未満」の反対語とされる表現には「超過」があるが、通常は「100以上」「100以下」「100未満」などとは言うが「100超過」とは言わず「100よりも大きい」などと表現する。"	Guess the Word or Reading	Text
"授賞に際して正賞と共に贈られる副次的な賞品。正賞が名誉を、||副||＊が金品などの実質的利益をもたらすものであることが多い。"	"副賞,ふくしょう"	"授賞に際して正賞と共に贈られる副次的な賞品。正賞が名誉を、副賞が金品などの実質的利益をもたらすものであることが多い。"	Guess the Word or Reading	Text
"折りしも、ちょうどそのとき、などの意味の表現。「折柄(||お||＊＊＊)」と書く。"	"折から,おりから"	"折りしも、ちょうどそのとき、などの意味の表現。「折柄(おりから)」と書く。"	Guess the Word or Reading	Text
"いがみ合ったり対立することなく、協力し合って。「仲良し」の連用形。"	"仲良く,なかよく"	"いがみ合ったり対立することなく、協力し合って。「仲良し」の連用形。"	Guess the Word or Reading	Text
"(1)場所や容器などにものをいっぱいに入れることを意味する表現。(2)ある条件や要求などに合っていることを意味する表現。(3)ある欲求に対して心理的あるいは生理的に満足することを意味する表現。"	"満たす,みたす"	"(1)場所や容器などにものをいっぱいに入れることを意味する表現。(2)ある条件や要求などに合っていることを意味する表現。(3)ある欲求に対して心理的あるいは生理的に満足することを意味する表現。"	Guess the Word or Reading	Text
"ある事柄と関係を持つことを意味する言葉。同じ読みの言葉としては「係わる」が挙げられ、重大な事件や出来事について述べるときに用いられることが多い。「係わる」が公文書などで使用されることが多いのに対し、「||関||＊＊」は一般に用いられることが多い。"	"関わる,かかわる"	"ある事柄と関係を持つことを意味する言葉。同じ読みの言葉としては「係わる」が挙げられ、重大な事件や出来事について述べるときに用いられることが多い。「係わる」が公文書などで使用されることが多いのに対し、「関わる」は一般に用いられることが多い。"	Guess the Word or Reading	Text
"雑誌や論文において、本来の印刷物とは別個に印刷すること。紙やカラー・モノクロの違いのある素材で印刷するものを指す場合と、特定の部分だけを抜き取る形で印刷することなどを指す場合とがある。後者の||別||＊＊を特に「抜き刷り」や「論文別刷」などという。"	"別刷り,べつずり"	"雑誌や論文において、本来の印刷物とは別個に印刷すること。紙やカラー・モノクロの違いのある素材で印刷するものを指す場合と、特定の部分だけを抜き取る形で印刷することなどを指す場合とがある。後者の別刷りを特に「抜き刷り」や「論文別刷」などという。"	Guess the Word or Reading	Text
"印刷物などを複写（コピー）する装置。スキャナやプリンタ、あるいはファクシミリなどの機能を併せ持つ複合機の形で利用されることが多い。複合機は代表的なOA機器の一つ。"	"コピー機,コピーき"	"印刷物などを複写（コピー）する装置。スキャナやプリンタ、あるいはファクシミリなどの機能を併せ持つ複合機の形で利用されることが多い。複合機は代表的なOA機器の一つ。"	Guess the Word or Reading	Text
"一つになること、繋がること。「結び付く」と書く。他動詞は「結び付ける(むすびつける)」。"	"結びつく,むすびつく"	"一つになること、繋がること。「結び付く」と書く。他動詞は「結び付ける(むすびつける)」。"	Guess the Word or Reading	Text
"「ちょっと違う」「変な」といった意味。変わっている。"	"変わった,かわった"	"「ちょっと違う」「変な」といった意味。変わっている。"	Guess the Word or Reading	Text
"関係、関わり、結合、などの意味の表現。「結び付き」と書く。"	"結びつき,むすびつき"	"関係、関わり、結合、などの意味の表現。「結び付き」と書く。"	Guess the Word or Reading	Text
"「ない」に助動詞「そうだ」の付いた形から「だ」を省略した表現。様子や状態についての推量を意味し、そのように思われる、などの意味を示す。"	"無さそう,なさそう"	"「ない」に助動詞「そうだ」の付いた形から「だ」を省略した表現。様子や状態についての推量を意味し、そのように思われる、などの意味を示す。"	Guess the Word or Reading	Text
"終わりがなくどこまでも続いているさま。「果てし無い」と書く。"	"果てしない,はてしない"	"終わりがなくどこまでも続いているさま。「果てし無い」と書く。"	Guess the Word or Reading	Text
"結んで、つなげること。情報について比喩的にも言う。"	"結びつける,むすびつける"	"結んで、つなげること。情報について比喩的にも言う。"	Guess the Word or Reading	Text
"相手に干渉し、ある物事を為すように促すこと。働き掛け。"	"働きかける,はたらきかける"	"相手に干渉し、ある物事を為すように促すこと。働き掛け。"	Guess the Word or Reading	Text
"折あるごとに。機会があればいつも。「折りに触れて」「折りに触れ」などと言う。「折」（折り）は機会の意味。"	"折にふれて,おりにふれて"	"折あるごとに。機会があればいつも。「折りに触れて」「折りに触れ」などと言う。「折」（折り）は機会の意味。"	Guess the Word or Reading	Text
"ある時点から、変化がもたらされずにいるさま。同じ状態であり続ける様子。好悪どちらの意味合いでも用いる。"	"変わらない,かわらない"	"ある時点から、変化がもたらされずにいるさま。同じ状態であり続ける様子。好悪どちらの意味合いでも用いる。"	Guess the Word or Reading	Text
"「||や||＊＊＊＊＊」は、他にどうすることもできない・仕方がない・しようがない・残念だがあきらめるしかない、といった意味の表現。「やめざるを得ない」ということ。動詞などを修飾して副詞的に用いる場合は「やむを得ず」または「やむなく」と言い換えられる。「||や||＊＊＊＊＊」は「止む（已む）＋を＋得ない」という構成の連語表現である。抑揚は「家具の世代」と同様であり、「ヤム負えない」のような抑揚ではない。"	"やむを得ない,やむをえない"	"「やむを得ない」は、他にどうすることもできない・仕方がない・しようがない・残念だがあきらめるしかない、といった意味の表現。「やめざるを得ない」ということ。動詞などを修飾して副詞的に用いる場合は「やむを得ず」または「やむなく」と言い換えられる。「やむを得ない」は「止む（已む）＋を＋得ない」という構成の連語表現である。抑揚は「家具の世代」と同様であり、「ヤム負えない」のような抑揚ではない。"	Guess the Word or Reading	Text
"無いと物事が成り立たない、必要である、といった意味の表現。「必要欠くべからざる」などのようにも言う。"	"無くてはならない,なくてはならない"	"無いと物事が成り立たない、必要である、といった意味の表現。「必要欠くべからざる」などのようにも言う。"	Guess the Word or Reading	Text
"よくしてくれることを求める意味合いの挨拶表現。"	"よろしくお願いします,よろしくおねがいします"	"よくしてくれることを求める意味合いの挨拶表現。"	Guess the Word or Reading	Text
"十分でないさま、足りていない部分がある様子などを意味する語。分量が少ない、満足できる程度でないといった意味合いで用いられることが多い。"	"不充分,ふじゅうぶん,不十分,ふじゅうぶん"	"十分でないさま、足りていない部分がある様子などを意味する語。分量が少ない、満足できる程度でないといった意味合いで用いられることが多い。"	Guess the Word or Reading	Text
